name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Dyadobacter fermentans	94254	S	364	5	369	0.00002
Dyadobacter sandarakinus	2747268	S	121	1	122	0.00001
Dyadobacter chenwenxiniae	2906456	S	23	0	23	0.00000
Dyadobacter fanqingshengii	2906443	S	11	0	11	0.00000
Runella rosea	2259595	S	43	13	56	0.00000
Runella slithyformis	106	S	17	2	19	0.00000
Runella sp. SP2	2268026	S	12	0	12	0.00000
Larkinella insperata	332158	S	21	0	21	0.00000
Fibrella aestuarina	651143	S	20	0	20	0.00000
Fulvivirga maritima	2904247	S	282	5	287	0.00001
Fulvivirga ligni	2904246	S	68	0	68	0.00000
Chryseolinea soli	2321403	S	205	1	206	0.00001
Algoriphagus machipongonensis	388413	S	143	5	148	0.00001
Porifericola rhodea	930972	S	10	2	12	0.00000
Flavobacterium sp. N1719	2885633	S	326	30	356	0.00001
Flavobacterium sp. N1846	2986824	S	22	5	27	0.00000
Flavobacterium sp. F-70	2893884	S	18	6	24	0.00000
Flavobacterium sp. B183	907046	S	12	18	30	0.00000
Flavobacterium sp. N502536	2986837	S	11	9	20	0.00000
Flavobacterium sp. N2820	2986834	S	10	3	13	0.00000
Flavobacterium faecale	1355330	S	411	71	482	0.00002
Flavobacterium inviolabile	2748320	S	181	30	211	0.00001
Flavobacterium magnum	2162713	S	112	10	122	0.00001
Flavobacterium sediminis	2201181	S	100	53	153	0.00001
Flavobacterium ammonificans	1751056	S	80	29	109	0.00000
Flavobacterium album	2175091	S	60	3	63	0.00000
Flavobacterium oreochromis	2906078	S	44	18	62	0.00000
Flavobacterium nitratireducens	992289	S	32	10	42	0.00000
Flavobacterium alkalisoli	2602769	S	30	2	32	0.00000
Flavobacterium gelatinilyticum	3003260	S	23	13	36	0.00000
Flavobacterium johnsoniae	986	S	12	43	55	0.00000
Formosa sp. Hel3_A1_48	1336795	S	300	92	392	0.00002
Capnocytophaga haemolytica	45243	S	173	8	181	0.00001
Capnocytophaga sp. oral taxon 878	1316596	S	43	11	54	0.00000
Capnocytophaga stomatis	1848904	S	10	1	11	0.00000
Christiangramia fulva	2126553	S	159	14	173	0.00001
Zunongwangia profunda	398743	S	99	74	173	0.00001
Zunongwangia sp. SCSIO 43204	2779359	S	12	7	19	0.00000
Algibacter sp. L3A6	2686366	S	103	45	148	0.00001
Allomuricauda oceani	2698672	S	41	17	58	0.00000
Allomuricauda sp.	192149	S	36	13	49	0.00000
Allomuricauda lutaonensis	516051	S	11	2	13	0.00000
Aquimarina sp. Aq107	1191912	S	69	8	77	0.00000
Salegentibacter sp. T436	1729720	S	59	50	109	0.00000
Maribacter sp. Hal144	2980554	S	34	4	38	0.00000
Aureibaculum algae	2584122	S	45	5	50	0.00000
Zobellia laminariae	248906	S	39	4	43	0.00000
Robiginitalea biformata	252307	S	43	1	44	0.00000
Abyssalbus ytuae	2926907	S	35	2	37	0.00000
Flagellimonas sp. CMM7	2654676	S	32	3	35	0.00000
Sinomicrobium kalidii	2900738	S	31	0	31	0.00000
Hwangdonia sp. SCSIO 19198	3075823	S	27	8	35	0.00000
Amniculibacterium sp. G2-70	2767188	S	26	15	41	0.00000
Cellulophaga sp. L1A9	2686362	S	12	6	18	0.00000
Flavivirga eckloniae	1803846	S	20	3	23	0.00000
Dokdonia sp. PRO95	1239415	S	16	0	16	0.00000
Nonlabens spongiae	331648	S	11	3	14	0.00000
Paenimyroides cloacae	1852970	S	11	6	17	0.00000
Chryseobacterium indologenes	253	S	354	51	405	0.00002
Chryseobacterium lactis	1241981	S	295	65	360	0.00001
Chryseobacterium camelliae	1265445	S	240	23	263	0.00001
Chryseobacterium sp. 6424	2039166	S	41	6	47	0.00000
Chryseobacterium sp. JJR-5R	3093923	S	11	0	11	0.00000
Chryseobacterium aureum	2497456	S	17	1	18	0.00000
Chryseobacterium capnotolerans	2759528	S	16	2	18	0.00000
Chryseobacterium joostei	112234	S	12	1	13	0.00000
Kaistella sp. 97-N-M2	2908645	S	43	3	46	0.00000
Kaistella carnis	1241979	S	32	5	37	0.00000
