name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Labilithrix luteola	0	0	0	0	0	1e-5
Nannocystis poenicansa	1e-5	0	0	1e-5	1e-5	1e-5
Haliangium ochraceum	0	2e-5	1e-5	1e-5	0	1e-5
Campylobacter coli	2e-5	0	8e-5	1e-5	1e-5	2e-5
Campylobacter concisus	0	0	0	0	0	0
Campylobacter jejuni	1e-5	8e-5	3e-5	5e-5	1e-5	3e-5
Campylobacter gracilis	0	1e-5	0	0	0	0
Campylobacter showae	0	0	0	0	0	0
Campylobacter geochelonis	0	0	0	0	0	0
Campylobacter pinnipediorum	0	0	0	0	0	0
Sulfurospirillum diekertiae	2e-5	0	0	0	0	1e-5
Aliarcobacter butzleri	0	0	0	0	0	0
Aliarcobacter thereius	0	0	0	0	0	0
Aliarcobacter cryaerophilus	0	0	0	0	0	0
Arcobacter porcinus	0	0	0	0	0	0
Malaciobacter halophilus	0	0	0	0	0	0
Malaciobacter canalis	0	0	0	0	0	0
Helicobacter cinaedi	0	0	0	0	0	0
Helicobacter sp. NHP21005	0	0	0	0	0	0
Helicobacter pylori	0	0	1e-5	0	0	0
Wolinella succinogenes	0	0	0	0	0	0
Sulfurimonas sp. HSL-3221	0	0	1e-5	0	0	0
Sulfurimonas sediminis	0	0	0	0	0	0
Sulfurovum lithotrophicum	0	0	0	0	0	0
Sulfurovum mangrovi	0	1e-5	0	0	0	0
Hydrogenimonas urashimensis	0	0	0	0	0	0
Nitrosophilus alvini	0	0	0	0	0	0
Geothrix sp. 21YS21S-4	0	0	0	0	0	0
Geothrix sp. PMB-07	0	0	1e-5	0	0	1e-5
Geothrix sp. 21YS21S-2	1e-5	0	2e-5	0	0	1e-5
Geothrix sp.	0	0	0	0	0	1e-5
Geothrix oryzae	0	0	0	0	0	1e-5
Mesoterricola sediminis	1e-5	0	1e-5	0	1e-5	1e-5
Mesoterricola silvestris	1e-5	0	1e-5	0	0	2e-5
uncultured Holophaga sp.	1e-5	0	1e-5	0	0	0
Thermotomaculum hydrothermale	0	0	0	0	0	0
Sulfidibacter corallicola	0	0	0	0	0	0
Edaphobacter sp. 12200R-103	1e-5	0	0	1e-5	0	0
Edaphobacter sp. 4G125	0	0	0	0	0	0
Edaphobacter flagellatus	0	0	0	0	0	0
Granulicella tundricola	1e-5	0	0	0	0	0
Granulicella sp. WH15	0	0	0	0	0	0
Terriglobus saanensis	0	0	0	0	1e-5	0
Terriglobus roseus	0	1e-5	0	0	1e-5	0
Terriglobus albidus	0	1e-5	0	0	0	0
Occallatibacter riparius	0	0	0	0	0	1e-5
Acidobacterium capsulatum	0	0	1e-5	0	0	1e-5
Alloacidobacterium dinghuense	0	0	1e-5	0	0	0
Acidisarcina polymorpha	0	0	0	0	0	0
uncultured Paludibaculum sp.	0	0	1e-5	0	0	1e-5
Paludibaculum fermentans	0	0	1e-5	0	0	1e-5
Luteitalea sp. TBR-22	0	0	0	0	1e-5	1e-5
Luteitalea pratensis	0	0	1e-5	0	0	1e-5
Chloracidobacterium validum	0	0	0	0	0	0
Fusobacterium necrophorum	1e-5	1e-5	0	0	0	0
Fusobacterium pseudoperiodonticum	0	7e-5	0	0	0	0
Fusobacterium ulcerans	0	2.9e-4	0	0	0	0
Fusobacterium nucleatum	0	1.4e-4	1e-5	0	0	0
Fusobacterium gastrosuis	0	2e-5	0	0	0	0
Fusobacterium mortiferum	0	0.01512	0	0	0	0
uncultured Ilyobacter sp.	0	1e-5	1e-5	0	0	0
Leptotrichia sp. oral taxon 212	0	0	0	0	0	0
Sebaldella termitidis	0	0	0	0	0	0
Bdellovibrio bacteriovorus	1e-5	1e-5	1e-5	1e-5	0	2e-5
Micavibrio aeruginosavorus	0	0	0	0	0	1e-5
Bacteriovorax stolpii	1e-5	0	0	0	0	0
Fervidobacterium pennivorans	1e-5	0	1e-5	1e-5	0	0
Pseudothermotoga hypogea	0	0	0	0	0	0
Mesotoga infera	0	0	0	0	0	0
Petrotoga mobilis	0	0	0	0	0	0
Candidatus Nanosynbacter lyticus	0	0	0	0	0	0
Candidatus Nanosynbacter sp. HMT-352	0	0	2e-5	0	0	1e-5
Candidatus Nanosynbacter featherlites	0	0	0	0	0	0
Candidatus Saccharimonas aalborgensis	0	0	0	0	0	0
Candidatus Fervidibacter sacchari	0	0	0	0	0	0
Nitrospira moscoviensis	0	0	0	0	0	0
Nitrospira tepida	0	0	1e-5	0	0	0
Thermodesulfovibrio yellowstonii	0	0	0	0	0	0
Persicimonas caeni	0	0	0	0	0	0
Bradymonas sediminis	0	0	0	0	0	0
Thermocrinis albus	0	0	0	0	0	0
Aquifex aeolicus	0	0	0	0	0	0
Desulfurispirillum indicum	0	0	1e-5	0	0	0
Flexistipes sinusarabici	0	0	0	0	0	0
Geovibrio thiophilus	0	0	1e-5	0	0	0
Elusimicrobium minutum	0	0	0	0	0	0
unidentified bacterial endosymbiont	0	0	0	0	0	0
Caldithrix abyssi	0	0	0	0	0	0
Thermodesulfobium narugense	0	0	0	0	0	0
Homo sapiens	2.1e-4	5.4e-4	3.6e-4	4.3e-4	1.5e-4	3.6e-4
Halomicrobium salinisoli	0	0	0	0	1e-5	1e-5
Halomicroarcula sp. SHR3	0	0	0	0	0	0
Halomicroarcula sp. ZS-22-S1	0	0	0	0	0	0
Halorhabdus utahensis	0	0	0	0	0	0
Halosimplex sp. XZYJT29	0	0	0	0	0	0
Haloglomus sp. DT116	0	0	0	0	0	0
Halapricum desulfuricans	0	0	0	0	0	0
Halorarius litoreus	0	0	0	0	0	0
Halorussus sp. DT72	0	0	0	0	0	0
Haladaptatus halobius	0	0	0	0	0	0
Haladaptatus sp. ZJ1	0	0	0	0	0	0
Haladaptatus salinisoli	0	0	0	0	0	0
Salarchaeum sp. JOR-1	0	0	0	0	0	0
Halanaeroarchaeum sp. HSR-CO	0	0	0	0	0	0
Salinarchaeum sp. Harcht-Bsk1	0	0	0	0	0	0
Halobaculum magnesiiphilum	1e-5	0	0	0	0	1e-5
Halorubrum sp. DM2	0	0	0	0	0	0
Halorubrum hochsteinianum	0	0	0	0	0	0
Halolamina sp. CBA1230	1e-5	0	0	1e-5	0	0
Haloferax volcanii	0	0	0	0	0	0
Haloplanus rubicundus	0	0	1e-5	0	0	1e-5
Natrinema sp. J7-2	0	0	0	0	0	0
Natrinema pallidum	0	0	0	0	0	0
Natrinema gelatinilyticum	0	0	0	0	0	0
Halopiger xanaduensis	1e-5	0	0	0	0	0
Haloterrigena salifodinae	0	0	0	0	0	0
Halovivax limisalsi	0	0	0	0	0	0
Natronobeatus ordinarius	0	0	0	0	0	0
Natronosalvus caseinilyticus	0	0	0	0	0	0
Natronococcus sp. CG52	0	0	0	0	0	0
Natrarchaeobaculum aegyptiacum	0	0	0	0	0	0
Methanosarcina siciliae	0	0	0	0	0	0
Methanosarcina mazei	0	0	0	0	0	0
uncultured Methanolobus sp.	0	0	0	0	0	0
Methanimicrococcus sp. Hf6	0	0	0	0	0	0
Methanofollis aquaemaris	0	0	0	0	0	0
uncultured Methanoregula sp.	0	0	0	0	0	0
Methanothrix harundinacea	0	0	1e-5	0	0	0
Methanocella arvoryzae	0	0	0	0	0	0
Thermococcus barophilus	0	0	0	0	0	0
Thermococcus eurythermalis	0	0	0	0	0	0
Thermococcus aggregans	0	0	0	0	0	0
Thermococcus celer	0	0	0	0	0	0
Thermococcus chitonophagus	0	0	0	0	0	0
Geoglobus ahangari	0	0	0	0	0	0
Acidianus manzaensis	0	0	0	0	0	0
Saccharolobus caldissimus	0	0	0	0	0	0
Candidatus Nitrososphaera evergladensis	0	0	0	0	0	0
Methanomethylophilus alvi	0	0	0	0	0	0
Candidatus Methanoplasma termitum	0	0	0	0	0	0
Endlipuvirus intestinihominis	6.9e-4	0	0.00169	0	0	0
Jahgtovirus intestinalis	2e-5	0	0	0	0	0
Junduvirus communis	2e-5	0	7e-5	0	0	3e-5
Junduvirus copri	0	0	1.4e-4	0	0	0
Buchavirus oralis	0	1e-5	0	0	0	0
Buchavirus hiberniae	0	1.9e-4	0	0	3e-5	1e-5
Cohcovirus splanchnicus	0	1e-5	7e-5	0	0	0
Cohcovirus hiberniae	0	0	5e-5	0	0	0
Brigitvirus brigit	3.7e-4	0	7.4e-4	4e-5	0	0.0018
Taranisvirus taranis	4.5e-4	0	5e-5	1e-5	7e-5	1e-4
Toutatisvirus toutatis	2.6e-4	0	4.4e-4	5e-5	4e-5	3.4e-4
Oengusvirus oengus	2e-5	0	3e-5	7e-5	0	7.3e-4
Rosenblumvirus CSA13	0	0	0	1e-5	0	0
Pseudomonas phage MiCath	0	0	0	0	0	0
Streptococcus phage Dp-1	0	0	0	0	0	0
Eponavirus epona	0	0	0	0	0	0
Rubivirus ruteetense	0	0	0	1e-5	0	0
Calicivirus chicken/V0021/Bayern/2004	0	0	0	0	0	0
Pigeon aviadenovirus A	0	0	0	0	0	0
Candidatus Azobacteroides pseudotrichonymphae	0	1e-5	0	0	0	0
Salinivirga cyanobacteriivorans	0	0	1e-5	0	0	0
Flavobacterium faecale	0	3e-5	0	0	2e-5	0
Flavobacterium sp. KACC 22761	0	2e-5	0	0	0	0
Flavobacterium sp. K5-23	0	0	0	0	0	0
Flavobacterium marginilacus	0	3e-5	0	0	0	0
Flavobacterium ammonificans	0	0	0	0	0	1e-5
Flavobacterium covae	0	1e-5	0	0	0	0
Flavobacterium praedii	0	1e-5	0	0	0	0
Flavobacterium johnsoniae	0	0	0	0	0	0
Flavobacterium psychrotrophum	0	0	0	0	0	0
Christiangramia flava	0	1e-5	0	0	0	0
Capnocytophaga stomatis	0	0	0	0	0	0
Tenacibaculum tangerinum	0	1e-5	0	0	0	0
Formosa sp. Hel1_33_131	0	1e-5	0	0	0	0
Winogradskyella sp. PG-2	0	0	0	0	0	0
Winogradskyella forsetii	0	0	0	0	0	0
Myroides sp. A21	0	0	0	0	0	1e-5
Aequorivita sublithincola	0	0	0	0	0	0
Nonlabens sp. MB-3u-79	0	0	0	0	0	0
Euzebyella marina	0	0	0	0	0	0
Antarcticibacterium arcticum	0	0	0	0	0	0
Gillisia sp. Hel1_33_143	0	0	0	0	0	0
Abyssalbus ytuae	0	0	0	0	0	0
Pukyongia salina	0	0	0	0	0	0
Pseudalgibacter alginicilyticus	0	0	0	0	0	0
Constantimarinum furrinae	0	0	0	0	0	0
Mangrovimonas sp. YM274	0	0	0	0	0	0
Chryseobacterium sp. MEBOG06	0	0	0	0	0	0
Chryseobacterium sp. 3008163	0	0	0	0	0	0
Chryseobacterium turcicum	0	0	0	0	0	0
Elizabethkingia ursingii	0	0	0	0	0	0
Apibacter raozihei	0	0	0	0	0	0
Empedobacter brevis	0	0	0	0	0	0
Faecalibacter sp. LW9	0	0	0	1e-5	0	0
Faecalibacter bovis	0	0	0	0	0	0
Blattabacterium sp. (Cryptocercus kyebangensis)	0	0	0	0	0	0
Hymenobacter sp. APR13	0	1e-5	4e-5	0	0	1e-5
Nibribacter ruber	0	1e-5	1e-5	0	0	0
Dyadobacter sp. NIV53	0	0	0	0	0	0
Emticicia oligotrophica	0	0	0	0	0	0
Larkinella insperata	0	0	0	0	0	1e-5
Bernardetia litoralis	0	1e-5	0	0	0	0
Algoriphagus sp. NBT04N3	0	0	0	0	0	0
Echinicola soli	0	0	0	0	0	0
Chitinophaga pinensis	0	2e-5	0	0	0	0
Chitinophaga sancti	0	1e-5	1e-5	1e-5	0	0
Chitinophaga sp. LS1	0	0	0	0	0	0
Chitinophaga sp. HK235	0	0	0	0	0	0
Chitinophaga agri	0	0	1e-5	0	0	0
Ferruginibacter albus	0	3e-5	0	0	0	0
Sphingobacterium lactis	0	2e-5	0	0	0	0
Sphingobacterium thalpophilum	0	0	4e-5	2e-5	0	0
Pedobacter roseus	0	2e-5	0	0	0	1e-5
Pedobacter ginsengisoli	0	0	0	0	1e-5	0
Mucilaginibacter sp. KACC 22773	0	0	0	0	0	0
Melioribacter roseus	0	0	1e-5	0	0	0
Candidatus Cloacimonas acidaminovorans	0	1e-5	1e-5	0	0	1e-5
Paraburkholderia sp. FT54	0	3e-5	0	0	0	0
Paraburkholderia sp. PGU16	0	0	1e-5	0	0	0
Paraburkholderia pallida	0	3e-5	0	1e-5	0	0
Paraburkholderia phymatum	0	2e-5	0	0	0	0
Paraburkholderia dokdonensis	0	1e-5	0	0	0	0
Paraburkholderia kirstenboschensis	0	0	0	0	0	0
Burkholderia pseudomultivorans	0	1e-5	0	0	0	0
Burkholderia sp. S-53	0	0	0	0	0	0
Burkholderia savannae	0	0	0	0	0	0
Burkholderia pseudomallei	0	9e-5	0	0	3e-5	1e-5
Cupriavidus campinensis	0	2e-5	0	0	0	1e-5
Cupriavidus necator	0	0	2e-5	0	0	2e-5
Cupriavidus gilardii	0	0	0	0	0	0
Ralstonia insidiosa	0	0	0	0	0	1e-5
Pandoraea thiooxydans	0	0	0	0	0	0
Polynucleobacter sp. MWH-P3-07-1	0	1e-5	0	0	0	0
Mycetohabitans rhizoxinica	0	0	0	0	0	0
Achromobacter deleyi	0	9e-5	0	0	0	1e-5
Achromobacter insolitus	0	0	0	0	0	0
Bordetella genomosp. 13	0	1e-5	0	0	0	1e-5
Bordetella sp. H567	0	0	0	0	0	0
Pigmentiphaga aceris	0	0	0	0	0	0
Rhodoferax sp. MIZ03	0	3e-5	0	0	0	0
Delftia sp. Cs1-4	0	3e-5	0	0	0	0
uncultured Hydrogenophaga sp.	0	1e-5	0	0	0	0
Comamonas sp. Y33R10-2	0	0	0	0	0	0
Comamonas sp. NLF-1-9	0	0	0	0	0	0
Acidovorax sp. RAC01	0	0	0	0	0	0
Ottowia testudinis	0	0	1e-5	0	0	1e-5
Massilia sp. PAMC28688	0	1e-5	0	0	0	0
Massilia sp. DM-R-R2A-13	0	1e-5	0	0	0	0
Massilia sp. NP310	0	0	0	0	0	0
Massilia varians	0	2e-5	0	0	0	0
Pseudoduganella chitinolytica	0	1e-5	0	0	0	0
Duganella zoogloeoides	0	0	0	0	1e-5	0
Duganella dendranthematis	0	0	0	0	0	0
Actimicrobium sp. CCC2.4	0	1e-5	0	0	0	0
Eleftheria terrae	0	3e-5	0	0	0	1e-5
Thiomonas sp. X19	0	0	0	0	0	1e-5
Roseateles sp. DAIF2	0	0	0	1e-5	0	1e-5
Methylibium sp. Pch-M	0	0	0	0	0	0
Methylibium petroleiphilum	0	0	0	0	0	0
Neisseria sp. KEM232	0	2e-5	0	0	0	0
Neisseria chenwenguii	0	1e-5	0	0	0	0
Neisseria lactamica	0	1e-5	0	0	0	0
Aquitalea denitrificans	0	1e-5	0	0	0	0
Chromobacterium vaccinii	0	1e-5	0	0	0	0
Deefgea tanakiae	0	1e-5	0	0	0	0
Thauera aromatica	0	0	0	0	0	1e-5
Pseudazoarcus pumilus	0	0	0	0	0	0
Aromatoleum petrolei	0	2e-5	0	0	0	1e-5
Nitrosospira sp. NRS527	0	1e-5	0	0	0	0
Methylophilus sp. TWE2	0	0	0	0	0	0
Candidatus Kinetoplastibacterium oncopeltii	0	0	0	0	0	0
Enterobacter kobei	0	4e-5	1e-5	0	3e-5	1e-5
Enterobacter cloacae complex sp.	0	2e-5	0	0	0	0
Enterobacter ludwigii	0	0	1e-5	0	0	0
Kluyvera ascorbata	0	1e-5	0	0	0	1e-5
Jejubacter calystegiae	0	0	0	0	0	0
Serratia odorifera	0	0	0	0	0	0
Serratia surfactantfaciens	0	0	0	1e-5	0	0
Serratia rubidaea	0	0	0	0	0	0
Yersinia canariae	0	0	0	0	0	0
Yersinia hibernica	0	0	0	0	0	0
Rahnella bonaserana	0	0	0	0	0	0
Candidatus Fukatsuia symbiotica	0	0	0	0	0	0
Xenorhabdus doucetiae	0	1e-5	0	0	0	0
Xenorhabdus budapestensis	0	0	0	0	0	0
Proteus hauseri	0	0	0	0	0	0
Pectobacterium colocasium	0	0	0	0	0	0
Edwardsiella hoshinae	0	1e-5	1e-5	0	0	0
Mixta gaviniae	0	0	0	0	0	0
Mixta hanseatica	0	0	0	0	0	0
Lysobacter yananisis	0	2e-5	0	0	0	0
Stenotrophomonas sp. BIO128-Bstrain	0	0	0	0	0	0
Xylella fastidiosa	0	0	0	0	0	0
Frateuria edaphi	0	1e-5	0	0	0	1e-5
Dyella sp. BiH032	0	0	0	0	0	0
Pseudomonas sp. DG56-2	0	2e-5	0	0	0	0
Pseudomonas sp. AO-1	0	2e-5	0	0	0	0
Pseudomonas sp. MM227	0	0	0	0	0	0
Pseudomonas sp. KU26590	0	0	0	0	0	0
Pseudomonas resinovorans	0	0	0	0	0	0
Pseudomonas tructae	0	1e-5	0	0	0	0
Pseudomonas asturiensis	0	1e-5	0	0	0	0
Pseudomonas fuscovaginae	0	0	0	0	0	0
Pseudomonas cucumis	0	0	0	0	0	0
Pseudomonas phytophila	0	0	0	0	0	0
Pseudomonas azerbaijanorientalis	0	0	0	0	0	0
Pseudomonas simiae	0	0	0	0	0	0
Pseudomonas agarici	0	0	0	0	0	0
Pseudomonas siliginis	0	0	0	0	0	0
Stutzerimonas frequens	0	0	0	0	0	0
Azotobacter salinestris	0	1e-5	0	0	0	0
Marinobacter sp. M3C	0	0	1e-5	0	0	0
Marinobacter sp. CP1	0	0	0	0	0	0
Acinetobacter junii	0	2e-5	0	0	0	0
Acinetobacter calcoaceticus	0	0	0	0	0	0
Acinetobacter baumannii	0	1e-5	2e-5	0	1e-5	1e-5
Acinetobacter sp. TTH0-4	0	0	0	0	0	0
Acinetobacter baylyi	0	0	0	0	0	0
Acinetobacter radioresistens	0	0	0	0	0	0
Psychrobacter sp.	0	3e-5	0	0	0	0
Psychrobacter sp. P11F6	0	0	0	0	0	0
Halomonas sp. YLGW01	0	0	0	0	0	0
Halomonas sp. 1513	0	0	0	0	0	0
Zymobacter palmae	0	0	0	0	0	0
Kushneria phosphatilytica	0	0	0	0	0	0
Marinomonas mediterranea	0	0	0	0	0	0
Endozoicomonas sp. SCSIO W0465	0	0	0	0	0	0
Halorhodospira halophila	0	0	0	0	0	0
Marichromatium purpuratum	0	2e-5	0	0	0	0
Halothiobacillus diazotrophicus	0	1e-5	0	0	0	0
Pseudoalteromonas sp. GCY	0	1e-5	0	0	0	0
Pseudoalteromonas sp. R3	0	0	0	0	0	0
Pseudoalteromonas piratica	0	0	0	0	0	0
Lacimicrobium alkaliphilum	0	0	0	0	0	0
Agarivorans aestuarii	0	0	0	0	0	0
Saccharobesus litoralis	0	0	0	0	0	0
Aliiglaciecola sp. LCG003	0	0	0	0	0	0
Shewanella polaris	0	0	0	0	0	0
Shewanella sp. KX20019	0	0	0	0	0	0
Idiomarina sp.	0	0	0	0	0	0
Vibrio rotiferianus	0	0	0	0	0	0
Vibrio alginolyticus	0	1e-5	0	0	0	0
Vibrio vulnificus	0	0	0	0	0	0
Vibrio porteresiae	0	0	0	0	0	0
Vibrio sp. VB16	0	0	0	0	0	0
Vibrio aquimaris	0	0	0	0	0	0
Vibrio cyclitrophicus	0	0	0	0	0	0
Thaumasiovibrio subtropicus	0	0	0	0	0	0
Microbulbifer sp. YPW1	0	1e-5	0	0	0	0
Microbulbifer sp. GL-2	0	1e-5	0	0	0	0
Microbulbifer sp. H12	0	0	0	0	0	0
Microbulbifer aggregans	0	0	0	0	0	0
Saccharophagus degradans	0	0	0	0	0	0
Pasteurella dagmatis	0	0	0	0	0	0
Mannheimia bovis	0	0	0	0	0	0
Glaesserella parasuis	0	0	0	0	0	0
Methylophaga pinxianii	0	1e-5	0	0	1e-5	0
Methylophaga frappieri	0	0	0	0	0	0
Thiomicrorhabdus sediminis	0	1e-5	0	0	1e-5	0
Francisella tularensis	0	0	0	0	0	0
Tolumonas auensis	0	0	0	0	0	0
Methylomonas sp. EFPC1	0	1e-5	0	0	0	0
Methylomarinovum sp. IN45	0	0	0	0	0	0
Sulfuricaulis limicola	0	1e-5	0	0	0	0
Legionella waltersii	0	1e-5	0	0	0	0
Frischella perrara	0	0	0	0	0	0
Bradyrhizobium sp. 62B	0	0	0	0	0	1e-5
Bradyrhizobium sp. 6(2017)	0	0	0	0	0	0
Bradyrhizobium sp. SK17	0	0	0	0	0	0
Bradyrhizobium sp. ORS 285	0	0	0	0	0	0
Bradyrhizobium sp. 4	0	0	0	0	0	0
Bradyrhizobium vignae	0	0	0	0	0	0
Nitrobacter hamburgensis	0	0	0	0	0	0
Afipia carboxidovorans	0	0	0	0	0	0
Mesorhizobium sp. B2-1-1	0	6e-5	0	0	0	0
Mesorhizobium sp. 113-1-2	0	2e-5	0	0	0	0
Mesorhizobium sp. J8	0	0	0	0	0	0
Mesorhizobium sp. WR6	0	0	0	0	0	0
Mesorhizobium mediterraneum	0	0	0	0	0	0
Rhizobium rosettiformans	0	2e-5	0	0	0	0
Rhizobium sp. BG4	0	0	0	0	1e-5	1e-5
Rhizobium grahamii	0	0	0	0	0	0
Rhizobium phaseoli	0	0	0	0	0	0
Paradevosia shaoguanensis	0	6e-5	0	0	0	1e-5
Devosia sp. FJ2-5-3	0	1e-5	0	0	0	0
Devosia sp. 1566	0	0	0	0	0	0
Methylobacterium indicum	0	1e-5	0	0	0	1e-5
Bosea sp. NBC_00550	0	0	0	0	0	0
Methylocystis iwaonis	0	1e-5	0	0	0	0
Roseibium alexandrii	0	1e-5	0	0	0	0
Phreatobacter aquaticus	0	0	0	0	0	0
Pyruvatibacter mobilis	0	0	0	0	0	0
Paracoccus sp. AK26	0	0	0	0	0	0
Paracoccus sp. M09	0	0	0	0	0	0
Thioclava electrotropha	0	0	0	0	0	0
Sulfitobacter sp. JL08	0	0	0	0	0	0
Celeribacter baekdonensis	0	0	0	0	0	0
Roseovarius sp. SCSIO 43702	0	0	0	0	0	0
Ruegeria sp. B32	0	0	0	0	0	0
Sphingomonas sp. SUN039	0	1e-5	0	0	0	0
Sphingomonas sp. NIBR02145	0	0	0	0	0	0
Sphingomonas paucimobilis	0	1e-5	0	0	0	0
Sphingomonas panacisoli	0	0	0	0	0	0
Novosphingobium sp. THN1	0	2e-5	0	0	0	0
Novosphingobium humi	0	0	0	0	0	0
Sphingobium sp. MI1205	0	2e-5	0	0	0	0
Sphingobium sp. SYK-6	0	0	0	0	0	1e-5
Sphingobium herbicidovorans	0	0	0	0	0	0
Sphingomicrobium flavum	0	0	0	0	0	1e-5
Altererythrobacter sp. CAU 1644	0	0	0	0	0	0
Erythrobacter sp. SDW2	0	0	0	0	0	0
Pelagerythrobacter marensis	0	0	0	0	0	0
Komagataeibacter europaeus	0	0	0	0	0	0
uncultured Lichenicoccus sp.	0	1e-5	0	0	0	1e-5
Commensalibacter melissae	0	0	0	0	0	0
Azospirillum sp. TSA2s	0	0	0	0	0	0
Azospirillum sp. TSH100	0	0	1e-5	0	0	0
Candidatus Endolissoclinum faulkneri	0	0	0	0	0	0
Brevundimonas vesicularis	0	1e-5	0	0	0	0
Anaplasma phagocytophilum	0	1e-5	0	0	0	0
Ehrlichia ruminantium	0	0	0	0	0	0
Candidatus Pelagibacter ubique	0	0	0	0	0	0
Candidatus Nesciobacter abundans	0	0	0	0	0	0
Acidithiobacillus thiooxidans	0	2e-5	0	0	0	0
Acidithiobacillus caldus	0	1e-5	0	0	0	1e-5
Clostridium sp. DL-VIII	0	0	0	0	0	0
Clostridium sp. MB40-C1	0	0	0	0	0	0
Clostridium taeniosporum	0	1e-5	0	0	0	0
Clostridium butyricum	0	2e-5	1e-5	0	0	0
Clostridium scatologenes	0	0	0	0	0	0
Clostridium drakei	0	0	0	0	0	0
Crassaminicella indica	0	0	0	0	0	0
Caminicella sporogenes	0	0	0	0	0	0
Hathewaya histolytica	0	0	0	0	0	0
Fenollaria massiliensis	0	0	0	0	0	0
Romboutsia sp. 13368	0	0	0	0	0	0
Romboutsia hominis	0	0	0	0	0	0
Terrisporobacter petrolearius	0	0	0	0	0	0
Terrisporobacter mayombei	0	0	0	0	0	0
Terrisporobacter hibernicus	0	0	0	0	0	0
Acetoanaerobium sticklandii	0	0	0	0	0	0
Alkalicella caledoniensis	0	0	0	0	0	0
Thermoanaerobacter siderophilus	0	0	0	0	0	0
Thermoanaerobacterium sp. RBIITD	0	0	0	0	0	0
Halobacteroides halobius	0	0	0	0	0	0
Acetohalobium arabaticum	0	0	0	0	0	0
Natranaerofaba carboxydovora	0	0	0	0	0	0
Staphylococcus cohnii	0	0.00133	0	0	0	0
Staphylococcus sp. IVB6181	0	1e-5	0	0	0	0
Staphylococcus argenteus	0	1e-5	0	0	0	0
Mammaliicoccus sciuri	0	0	0	0	0	0
Bacillus sp. DX3.1	0	0	0	0	0	0
Bacillus gobiensis	0	0	1e-5	0	0	0
Bacillus altitudinis	0	0	0	0	0	0
Bacillus smithii	0	0	0	0	0	0
Neobacillus sp. DY30	0	0	0	0	0	0
Neobacillus sp. PS3-40	0	0	0	1e-5	0	0
Neobacillus cucumis	0	0	0	0	0	0
Lysinibacillus sp. OF-1	0	0	0	0	0	0
Lysinibacillus louembei	0	0	0	0	0	0
Metabacillus sp. B2-18	0	0	0	0	0	0
Metabacillus sp. KUDC1714	0	0	0	0	0	0
Virgibacillus dokdonensis	0	0	0	0	0	0
Fictibacillus enclensis	0	0	0	1e-5	0	0
Halalkalibacterium halodurans	0	0	0	0	0	0
Halobacillus mangrovi	0	0	0	0	0	0
Paenibacillus sp. BIC5C1	0	0	0	0	0	0
Paenibacillus sp. 19GGS1-52	0	0	1e-5	0	0	0
Paenibacillus uliginis	0	2e-5	0	0	0	0
Paenibacillus typhae	0	0	0	0	0	0
Paenibacillus baekrokdamisoli	0	0	0	0	0	0
Planococcus halocryophilus	0	3e-5	0	0	0	0
Gemella haemolysans	0	0	0	0	0	0
Streptococcus sp. zg-86	0	0	1e-5	0	0	0
Streptococcus sp. Marseille-Q3533	0	0	0	0	0	0
Streptococcus halichoeri	0	0	0	0	0	0
Streptococcus intermedius	0	0	0	0	0	0
Streptococcus agalactiae	0	0	1e-5	1e-5	0	1e-5
Lactococcus raffinolactis	0	0	0	0	0	0
Weissella confusa	0	4e-5	0	0	3e-5	0
Weissella viridescens	0	0	0	0	0	0
Lacticaseibacillus rhamnosus	0	1e-5	0	0	0	0
Limosilactobacillus oris	0	0	0	0	0	0
Lactobacillus apis	0	0	0	0	0	0
Latilactobacillus curvatus	0	0	0	0	0	0
Ligilactobacillus salivarius	0	0	0	0	0	0
Companilactobacillus farciminis	0	0	0	0	0	0
Leuconostoc carnosum	0	0	0	0	0	0
Leuconostoc mesenteroides	0	0	0	0	0	0
Leuconostoc gelidum	0	0	0	0	0	0
Apilactobacillus bombintestini	0	0	0	0	0	0
Vagococcus sp. CY52-2	0	0	0	0	0	0
Aerococcus sanguinicola	0	0	0	0	0	0
Aerococcus urinaeequi	0	0	0	0	0	0
Globicatella sp. PHS-GS-PNBC-21-1553	0	0	0	0	0	0
Granulicatella elegans	0	0	1e-5	0	0	0
Jeotgalibaca arthritidis	0	0	0	0	0	0
Erysipelothrix sp. HDW6B	0	0	0	0	0	0
Turicibacter sp. H121	0	0	0	0	0	0
Miniphocaeibacter halophilus	0	0	0	0	0	0
Schnuerera ultunensis	0	0	0	0	0	0
Caloranaerobacter azorensis	0	0	0	0	0	0
Mycobacterium sp. ITM-2016-00317	0	0	0	0	0	0
Mycobacterium sp. Aquia_216	0	0	0	0	0	0
Mycobacterium kansasii	0	0	0	0	0	0
Mycolicibacterium aubagnense	0	0	0	0	0	0
Mycolicibacterium helvum	0	0	0	0	0	0
Mycolicibacterium crocinum	0	0	0	0	0	0
Mycolicibacterium septicum	0	0	0	0	0	0
Mycolicibacterium insubricum	0	0	0	0	0	0
Mycolicibacillus koreensis	0	0	1e-5	0	0	0
Corynebacterium felinum	0	1e-5	0	0	0	0
Corynebacterium imitans	0	0	0	0	0	0
