name	SRR8146935	SRR8146936	SRR8146938	SRR8146963	SRR8146968	SRR8146973
Anaerocolumna sp. MB42-C2	1e-5	0	1e-5	0	0	1e-5
Anaerocolumna sp. AGMB13025	1e-5	0	1e-5	0	1e-5	1e-5
Anaerocolumna sp. AGMB13020	0	0	1e-5	0	0	1e-5
Anaerocolumna sedimenticola	1e-5	0	2e-5	0	0	0
Anaerocolumna chitinilytica	1e-5	0	1e-5	0	0	0
Anaerocolumna cellulosilytica	1e-5	0	1e-5	0	0	1e-5
Sellimonas intestinalis	4e-5	1e-5	2e-4	2e-5	1e-5	8e-5
Stomatobaculum sp. F0698	3e-5	0	3e-5	1e-5	1e-5	3e-5
Lachnoanaerobaculum gingivalis	1e-5	1e-5	2e-5	0	0	1e-5
Lachnoanaerobaculum umeaense	1e-5	0	1e-5	0	0	1e-5
Novisyntrophococcus fermenticellae	2e-5	0	5e-5	1e-5	0	2e-5
Anaerotignum propionicum	2e-5	0	1e-5	0	0	0
Anaerotignum sp. MB30-C6	1e-5	0	2e-5	0	0	1e-5
Pseudobutyrivibrio xylanivorans	2e-5	0	1e-5	1e-5	0	1e-5
Kineothrix sp. MB12-C1	1e-5	0	1e-5	1e-5	0	0
Anaeromicropila herbilytica	1e-5	0	1e-5	0	0	0
Herbinix luporum	1e-5	0	1e-5	0	1e-5	1e-5
Chakrabartyella piscis	0	0	1e-5	0	0	0
Anaeropeptidivorans aminofermentans	0	0	1e-5	0	0	0
[Clostridium] colinum	0	0	5e-5	0	0	0
Candidatus Epulopiscium viviparus	0	0	0	0	0	0
Intestinimonas butyriciproducens	0.0018	1.2e-4	0.00263	0.00631	5.6e-4	0.00639
Flintibacter sp. KGMB00164	0.00172	1.5e-4	4.5e-4	3e-4	0.00228	0.00165
Massilistercora timonensis	1.4e-4	1e-5	5.1e-4	3e-5	2e-5	1.4e-4
Mogibacterium pumilum	1e-5	0	1e-5	0	0	0
Mogibacterium neglectum	1e-5	0	0	0	0	1e-5
Mogibacterium diversum	0	0	0	0	0	0
Aminipila butyrica	1e-5	0	2e-5	0	0	1e-5
